year,adm3,adm2,adm1,qfirms,sales,qfixedworkers,wfixedworkers,qfwmonth,qfwfem,wfwfem,qfwmfem,qfwmale,wfwmale,qfwmmale,qflexworkers,wflexworkers,qflwmonth,qflwfem,wflwfem,qflwmfem,qflwmale,wflwmale,qflwmmale,asdf_id,totalworkers,totalwage
2021,Aisen,Aisen, Aisen del Gral.Carlos Ibanez del Campo,1911,14966164.87,5995,2026570.841,3560.582,2123,741809.8195,1408.667,3882,1288845.995,2151.583,2699,520756.0915,1196.499,1224,231334.7076,685.584,1475,289403.6119,510.915,246,8694,2547326.933
2021,Algarrobo,San Antonio,Valparaiso,1343,4722724.54,3058,495699.954,1891.249,1365,237596.16,902.5,1695,258520.078,988.75,1365,124880.672,470.333,605,57214.87,237.584,760,67665.799,232.75,197,4423,620580.626
2021,Alhue,Melipilla, Metropolitana de Santiago,350,12348410.7,2328,1868544.8,1249.083,840,701595.7875,513.25,1486,1169923.789,735.832,420,405766.8385,264.083,206,174229.6606,136.75,214,231519.4039,127.333,326,2748,2274311.639
2021,Alto Biobio,Biobio,Biobio,117,191134.83,143,10708.815,73.583,61,3505.947,32.25,82,7202.868,41.333,83,4295.538,25.834,38,844.431,14.916,45,3451.107,10.916,124,226,15004.353
2021,Alto del Carmen,Huasco,Atacama,350,18329845.77,705,2867280.119,360.417,274,1107842.125,152.333,430,1763988.064,208.083,497,652021.6876,271.584,299,287993.1665,180.583,198,364004.4921,91,194,1202,3519301.807
2021,Alto Hospicio,Iquique,Tarapaca,4586,12604860.3,12990,1558991.825,7520.579,4229,679159.192,2895.166,8824,888871.208,4625.247,5820,505029.627,2655.081,2932,250403.303,1455.999,2888,254626.324,1199.082,238,18810,2064021.452
2021,Ancud,Chiloe,Los Lagos,3072,6592274.5,8066,879006.046,4981.582,3806,454176.514,2474.666,4237,424829.537,2506.916,3435,210554.313,1876.333,1844,94027.535,1052.166,1591,116526.779,824.166,160,11501,1089560.359
2021,Andacollo,Elqui,Coquimbo,511,12567180.98,2295,1800772.5,1130.249,559,627866.5735,330,1734,1175880.708,800.249,446,336780.0085,232.501,198,142686.1706,100.834,248,194076.0669,131.667,46,2741,2137552.509
2021,Angol,Malleco,La Araucania,2900,8180430.78,14244,1515586.633,6970.663,5379,736576.209,2936.998,8994,788968.726,4033.498,3730,319628.177,1714.998,1550,162950.447,723.583,2180,156677.722,991.416,16,17974,1835214.81
2021,Antofagasta,Antofagasta,Antofagasta,20224,80337474.65,87103,16857529.12,52938.23,33931,7636219.427,23590.827,53159,9244301.865,29343.236,36783,3666502.619,13584.571,17669,1746628.846,7139.41,19114,1919801.159,6444.494,227,123886,20524031.74
2021,Antuco,Biobio,Biobio,211,18294444.87,190,2810554.502,122.583,91,1080330.081,59.75,98,1734774.489,62.833,153,606960.8346,64.5,77,263683.9905,39.084,76,343252.8151,25.417,122,343,3417515.337
